founder,company,location,employees
Mohammed bin Rashid Al Maktoum,Dubai World,Dubai,5000
Mark R. Hughes,Herbalife,Cayman Islands,4500
Pierre-Théodore Verhaegen,Free University of Brussels,Avenue Franklin Roosevelt - Franklin Rooseveltlaan,5000
Tommy Hilfiger,Tommy Hilfiger Corporation,Amsterdam,5000
Charles Henry Harrod,Harrods,London,5000
"William II, Margrave of Meissen",Leipzig University,Leipzig,5300
Gilles Ste-Croix,Cirque du Soleil,Montreal,5020
Assis Chateaubriand,Diários Associados,Brasília,4647
Theodore Roosevelt,United States Bureau of Reclamation,"Washington, D.C.",5425
George Touche,Deloitte,London,286000
William Welch Deloitte,Deloitte,New York City,286000
Jamsetji Tata,Tata Group,Mumbai,289500
Abraham Lincoln,Union Army,"Washington, D.C.",2128948
Francisco D'Souza,Cognizant,Teaneck,266200
George Dayton,Target Corporation,Minneapolis,345000
J. R. D. Tata,Tata Consultancy Services,Mumbai,394998
Terry Gou,Hon Hai Precision Industry,New Taipei City,618460
George Touche,Deloitte,New York City,286000
William Jardine,Jardine Matheson,Hamilton,443700
William Jardine,Jardine Matheson,Hong Kong,443700
Alwin Charles Ernst,Ernst & Young,More London,270000
Frits Goldschmeding,Randstad N.V.,Diemen,658580
Martin Lorentzon,Spotify Technology,Luxembourg,4405
Kumar Mahadeva,Cognizant,Teaneck,266200
Adrian Dalsey,DHL,Post Tower,510000
Caleb Bradham,PepsiCo,Purchase,264000
Sam Walton,Walmart,Arkansas,2300000
Sergey Galitsky,Magnit,Krasnodar,297746
Lakshmi Narayanan,Cognizant,Teaneck,266200
Arthur Blank,The Home Depot,Atlanta,325000
James Matheson,Jardine Matheson,Hamilton,443700
Gérard Mulliez,Auchan,Croix,302500
Arthur Young,Ernst & Young,More London,270000
Larry Hillblom,DHL,Post Tower,510000
Vladimir Putin,Rostec,Moscow,453000
Bernard Marcus,The Home Depot,Atlanta,325000
Daniel Ek,Spotify Technology,Luxembourg,4405
James Matheson,Jardine Matheson,Hong Kong,443700
Pat Farrah,The Home Depot,Atlanta,325000
Garrett Camp,Uber,San Francisco,350000
F. C. Kohli,Tata Consultancy Services,Mumbai,394998
Sam Walton,Walmart,Bentonville,2300000
Robert Lynn,DHL,Post Tower,510000
Jack Cohen,Tesco,Welwyn Garden City,482152
Karl Benz,Daimler-Benz,Stuttgart,368200
Karl Benz,Daimler-Benz,Stuttgart,300068
William Welch Deloitte,Deloitte,London,286000
Gottlieb Daimler,Daimler-Benz,Stuttgart,368200
Gottlieb Daimler,Daimler-Benz,Stuttgart,300068
Lorenz Werthmann,Deutscher Caritasverband,Freiburg im Breisgau,617000
Frederick W. Smith,FedEx,Memphis,400000
Ron Brill,The Home Depot,Atlanta,325000
Travis Kalanick,Uber,San Francisco,350000
